Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
Body,-0.00500000000000015,-0.0150000000000002,-0.00499999999999896,0,0,0,1.37088974358268,0.0110007758484815,1.96455395481344E-21,-4.96308367531819E-20,0.0135005634933447,-6.41064974728595E-21,0.00269988156811165,0,0,0,0,0,0,package://StickASM/meshes/Body.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://StickASM/meshes/Body.STL,,Stick4-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
FLShoulder,6.93889390390723E-18,-0.00879740255477079,-0.0150000000000001,0,0,0,0.0320578905108868,8.45939720006731E-06,2.17052192733914E-21,1.98428750238942E-21,4.44451246213101E-06,-5.01950869064248E-21,8.78245355399603E-06,0,0,0,0,0,0,package://StickASM/meshes/FLShoulder.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://StickASM/meshes/FLShoulder.STL,,Stick3-2,Origin_FLShoulder,FLShoulder,FLShoulder,continuous,-0.0650000000000001,-0.145000000000001,-0.0150000000000002,-1.5707963267949,-1.40621703436074,0,Body,0,0,-1,,,,,,,,,,,,
FLUpper,0,0.0600000000000001,0.00473157331657191,0,0,0,0.0375556776546689,6.20837416421208E-05,4.33045594283761E-20,3.09656309124208E-21,2.93059020603247E-06,-2.40078540042328E-20,6.44442544233059E-05,0,0,0,0,0,0,package://StickASM/meshes/FLUpper.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://StickASM/meshes/FLUpper.STL,,Stick2-4,Origin_FLUpper,FLUpper,FLUpper,continuous,0,-0.025268426683428,-0.0150000000000002,1.5707963267949,-0.693164372580323,0,FLShoulder,0,0,1,,,,,,,,,,,,
FLLower,0,-0.054587971991015,0.0134904645578,0,0,0,0.0488457762535073,0.000101797858292996,-3.11284608115955E-20,3.18400110501725E-22,4.43601550465346E-06,3.30928229921803E-06,0.000103093198261683,0,0,0,0,0,0,package://StickASM/meshes/FLLower.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://StickASM/meshes/FLLower.STL,,Stick1-4,Origin_FLLower,FLLower,FLLower,continuous,0,0.12,0,0,0,-1.52817546237672,FLUpper,0,0,-1,,,,,,,,,,,,
FLFeet,8.006E-08,-0.030962,5.1893E-08,0,0,0,0.11624,4.5835E-05,-8.1167E-11,-2.2827E-11,4.3608E-05,-3.6086E-11,4.4581E-05,0,0,0,0,0,0,package://StickASM/meshes/FLFeet.STL,0.29804,0.29804,0.29804,1,0,0,0,0,0,0,package://StickASM/meshes/FLFeet.STL,butyl rubber,Stick5-3,Origin_FLFeet,Axis_FLFeet,FLFeet,fixed,0,-0.1,0.0147315733165719,-0.517604271370109,1.57079630572147,-0.526651036330121,FLLower,0,0,0,,,,,,,,,,,,
FRShoulder,0,-0.00879740255477083,0.015,0,0,0,0.0320578905108868,8.4593972000673E-06,-9.26442286059391E-22,3.60083340953907E-22,4.444512462131E-06,-1.25489025866428E-21,8.78245355399602E-06,0,0,0,0,0,0,package://StickASM/meshes/FRShoulder.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://StickASM/meshes/FRShoulder.STL,,Stick3-1,Origin_FRShoulder,FRShoulder,FRShoulder,continuous,0.0550000000000002,-0.145,-0.015,-1.5707963267949,-1.52735315429356,3.14159265358979,Body,0,0,1,,,,,,,,,,,,
FRUpper,2.77555756156289E-17,0.06,0.0111397894009754,0,0,0,0.037555677654669,6.20837416421209E-05,5.71747239396653E-21,3.60961517954552E-23,2.93059020603247E-06,-2.58768387361517E-20,6.4444254423306E-05,0,0,0,0,0,0,package://StickASM/meshes/FRUpper.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://StickASM/meshes/FRUpper.STL,,Stick2-2,Origin_FRUpper,FRUpper,FRUpper,continuous,0,-0.0188602105990246,0.015,-1.5707963267949,-0.983801789980512,-3.14159265358979,FRShoulder,0,0,1,,,,,,,,,,,,
FRLower,4.16333634234434E-17,-0.054587971991015,0.023652358855798,0,0,0,0.0488457762535073,0.000101797858292995,1.10114283143059E-20,-3.36550231622117E-22,4.43601550465344E-06,3.30928229921801E-06,0.000103093198261683,0,0,0,0,0,0,package://StickASM/meshes/FRLower.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://StickASM/meshes/FRLower.STL,,Stick1-1,Origin_FRLower,FRLower,FRLower,continuous,0,0.12,-0.00375367821359442,0,0,1.61544501831559,FRUpper,0,0,-1,,,,,,,,,,,,
FRFeet,7.8431E-08,-0.030962,5.1235E-08,0,0,0,0.11624,4.5835E-05,-7.7158E-11,-1.8287E-11,4.3608E-05,-3.5479E-11,4.4581E-05,0,0,0,0,0,0,package://StickASM/meshes/FRFeet.STL,0.29804,0.29804,0.29804,1,0,0,0,0,0,0,package://StickASM/meshes/FRFeet.STL,butyl rubber,Stick5-2,Origin_FRFeet,Axis_FRFeet,FRFeet,fixed,0,-0.1,0.0248934676145698,3.14159263868863,-1.5707963267949,0,FRLower,0,0,0,,,,,,,,,,,,
BLShoulder,-3.46944695195361E-18,-0.00879740255477084,0.015,0,0,0,0.0320578905108868,8.45939720006731E-06,1.11173074327127E-21,-1.72214447008598E-22,4.444512462131E-06,-1.52973545801633E-21,8.78245355399602E-06,0,0,0,0,0,0,package://StickASM/meshes/BLShoulder.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://StickASM/meshes/BLShoulder.STL,,Stick3-4,Origin_BLShoulder,BLShoulder,BLShoulder,continuous,-0.0650000000000001,0.154999999999999,-0.0150000000000002,-1.5707963267949,-1.44102861105251,0,Body,0,0,1,,,,,,,,,,,,
BLUpper,0,0.06,0.00483254652687731,0,0,0,0.037555677654669,6.20837416421209E-05,-1.0482032722272E-20,9.56223180092128E-22,2.93059020603245E-06,-1.36361094632562E-20,6.44442544233061E-05,0,0,0,0,0,0,package://StickASM/meshes/BLUpper.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://StickASM/meshes/BLUpper.STL,,Stick2-3,Origin_BLUpper,BLUpper,BLUpper,continuous,0,-0.0251674534731227,0.015,1.5707963267949,-1.02102707486535,0,BLShoulder,0,0,1,,,,,,,,,,,,
BLLower,0,-0.054588,0.013591,0,0,0,0.048846,0.0001018,3.6634E-20,-3.6919E-22,4.436E-06,3.3093E-06,0.00010309,0,0,0,0,0,0,package://StickASM/meshes/BLLower.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://StickASM/meshes/BLLower.STL,,Stick1-3,Origin_BLLower,BLLower,BLLower,continuous,0,0.12,0,0,0,-1.86181998978293,BLUpper,0,0,-1,,,,,,,,,,,,
BLFeet,7.959E-08,-0.030962,5.1894E-08,0,0,0,0.11624,4.5835E-05,-8.041E-11,-2.2214E-11,4.3608E-05,-3.6113E-11,4.4581E-05,0,0,0,0,0,0,package://StickASM/meshes/BLFeet.STL,0.29804,0.29804,0.29804,1,0,0,0,0,0,0,package://StickASM/meshes/BLFeet.STL,butyl rubber,Stick5-1,Origin_BLFeet,Axis_BLFeet,BLFeet,fixed,0,-0.1,0.0148325465268772,-1.33546498470485,1.57079631189374,-1.32543067513811,BLLower,0,0,0,,,,,,,,,,,,
BRShoulder,-3.46944695195361E-18,-0.00879740255477079,-0.015,0,0,0,0.0320578905108868,8.45939720006731E-06,-6.08804930839028E-22,6.9595475416283E-22,4.44451246213101E-06,-3.20651530399136E-21,8.78245355399602E-06,0,0,0,0,0,0,package://StickASM/meshes/BRShoulder.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://StickASM/meshes/BRShoulder.STL,,Stick3-3,Origin_BRShoulder,BRShoulder,BRShoulder,continuous,0.055,0.155,-0.015,-1.5708,-1.4773,3.1416,Body,0,0,-1,,,,,,,,,,,,
BRUpper,-2.77555756156289E-17,0.06,0.0182663104096052,0,0,0,0.037555677654669,6.20837416421209E-05,5.65394492292245E-20,-6.03139630358595E-22,2.93059020603247E-06,2.33568607617249E-20,6.44442544233061E-05,0,0,0,0,0,0,package://StickASM/meshes/BRUpper.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://StickASM/meshes/BRUpper.STL,,Stick2-5,Origin_BRUpper,BRUpper,BRUpper,continuous,0,-0.0117336895903948,-0.0150000000000001,-1.5707963267949,-1.00426253041017,-3.14159265358979,BRShoulder,0,0,1,,,,,,,,,,,,
BRLower,-5.55111512312578E-17,-0.054587971991015,0.0282323263050382,0,0,0,0.0488457762535073,0.000101797858292996,1.46113183401367E-20,1.34541507994117E-21,4.43601550465344E-06,3.30928229921799E-06,0.000103093198261683,0,0,0,0,0,0,package://StickASM/meshes/BRLower.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://StickASM/meshes/BRLower.STL,,Stick1-2,Origin_BRLower,BRLower,BRLower,continuous,0,0.12,-0.0012071,0,0,1.5357,BRUpper,0,0,-1,,,,,,,,,,,,
BRFeet,7.9013E-08,-0.030962,5.0741E-08,0,0,0,0.11624,4.5835E-05,-7.6549E-11,-1.6818E-11,4.3608E-05,-3.4776E-11,4.4581E-05,0,0,0,0,0,0,package://StickASM/meshes/BRFeet.STL,0.29804,0.29804,0.29804,1,0,0,0,0,0,0,package://StickASM/meshes/BRFeet.STL,butyl rubber,Stick5-4,Origin_BRFeet,,BRFeet,fixed,0,-0.1,0.029473,3.1416,-1.5708,0,BRLower,0,0,0,,,,,,,,,,,,
